"URL","Performance","Accesibilidad","Best Practices","SEO","Promedio","FCP","LCP","TBT","CLS","Speed Index","TTI","Title","Title (largo)","Description","Desc (largo)","H1","Canonical","Palabras","Problemas SEO"
"https://www.zoomforth.com","55","96","93","85","82","2.6 s","5.6 s","690 ms","0","4.8 s","12.9 s","Content Experience Platform & Microsite Builder","47","Engage audiences, win sales, and stand out with the Zoomforth microsite builder. Create secure, branded microsites quickly and at scale.","136","Level the playing field. Create compelling digital content - whatever your company size.","https://www.zoomforth.com","1566",""
"https://www.zoomforth.com/request-demo","47","95","89","85","79","2.5 s","9.5 s","910 ms","0","5.0 s","9.5 s","Request a Zoomforth Demo","24","See Zoomforth’s microsite builder for yourself.","47","See Zoomforth’s microsite builder for yourself","https://www.zoomforth.com/request-demo","210","Título muy corto (24 chars, mínimo 30) | Meta description corta (47 chars, mínimo 70) | Contenido escaso (~210 palabras, recomendado 300+)"
"https://www.zoomforth.com/platform-key-features","34","94","71","85","71","6.1 s","15.1 s","1,410 ms","0","6.6 s","15.6 s","Digital experience platform features - Zoomforth Microsites","59","Zoomforth’s digital experience platform features are very easy to use and make it a breeze to set up your microsites, with stellar customer support.","148","Digital experience platform features - Zoomforth microsites","https://www.zoomforth.com/platform-key-features","454",""
"https://www.zoomforth.com/platform-site-editor","35","94","71","85","71","5.4 s","15.7 s","1,210 ms","0","6.9 s","16.1 s","Zoomforth Site Edit","19","Gone are the days where enterprise teams need to wait weeks for design resources. Now you can create beautiful content experiences with Zoomforth’s site editor.","160","Create beautiful microsites, faster than ever with Zoomforth platform's site editor","https://www.zoomforth.com/platform-site-editor","460","Título muy corto (19 chars, mínimo 30)"
"https://www.zoomforth.com/platform-security-features","38","94","89","85","76","3.4 s","12.8 s","1,380 ms","0","6.0 s","13.6 s","Zoomforth enterprise level security","35","Enterprise level organizations often deal with highly sensitive information. This is why Zoomforth offers world class enterprise level security on its platform.","160","Protect the house with enterprise level security","https://www.zoomforth.com/platform-security-features","476",""
"https://www.zoomforth.com/platform-data-analytics","36","94","89","85","76","3.4 s","16.2 s","2,060 ms","0","5.9 s","16.2 s","Zoomforth Microsites Data Analytics","35","From summary data to individual visitor actions, you’ll be armed with rich insights from Zoomforth data analytics to help you make your next move.","146","Read the room. Even when you’re not in it. Data analytics for your business.","https://www.zoomforth.com/platform-data-analytics","551",""
"https://www.zoomforth.com/platform-integrations","36","94","86","85","75","3.4 s","13.0 s","1,730 ms","0","6.6 s","13.1 s","Zoomforth platform integrations","31","Zoomforth’s platform integrations make it easy for you to create a unified and completely synchronized communication ecosystem. View our 3rd party integrations.","160","Let’s get connected with Zoomforth platform integrations","https://www.zoomforth.com/platform-integrations","536",""
"https://www.zoomforth.com/platform-support-services","37","94","89","85","76","3.4 s","13.7 s","1,500 ms","0","6.7 s","13.8 s","Zoomforth customer support services","35","With super-fast customer support services and a host of easy-to-master learning materials, you’ll be a Zoomforth Pro in no time.","128","Need help?We’ve got you covered with our advanced customer support systems","https://www.zoomforth.com/platform-support-services","487",""
"https://www.zoomforth.com/learning","40","95","71","85","73","2.8 s","12.5 s","1,470 ms","0","5.8 s","12.5 s","Learning and Onboarding with Microsites - Training Site Builder","63","Create engaging learning experiences with Zoomforth’s microsite platform. Deliver individually tailored content at scale with easy-to-edit templates and libraries. No coding required.","183","Reimagine employee engagement with rich learning experiences.","https://www.zoomforth.com/learning","699","Título muy largo (63 chars, máximo 60) | Meta description muy larga (183 chars, máximo 160)"
"https://www.zoomforth.com/marketing","50","95","71","85","75","2.3 s","6.1 s","1,210 ms","0","4.0 s","14.1 s","Content experience brand specific microsites for marketing","58","Marketing with Zoomforth. Create astonishingly vivid content experiences to captivate audiences. Scale microsites and landing pages quickly. Zero coding necessary.","163","Grow your client relationships with focused, account-based marketing on a branded microsite.","https://www.zoomforth.com/marketing","700","Meta description muy larga (163 chars, máximo 160)"
"https://www.zoomforth.com/recruiting","36","95","71","85","72","4.6 s","15.4 s","1,280 ms","0","6.6 s","15.4 s","Online microsite software for recruitment pages","47","Zoomforth’s online microsite software for creating recruitment pages. Attract top talent with engaging recruitment and careers microsites.","138","Attract top talent with attention-grabbing candidate communications on specialized recruiting pages.","https://www.zoomforth.com/recruiting","774",""
"https://www.zoomforth.com/sales","35","95","71","85","72","4.6 s","14.8 s","1,320 ms","0","6.6 s","14.9 s","Product and branded microsites for sales and pursuits teams","59","Fast, secure digital sales proposals. Escape the inbox, win bids, and close deals with built in interactivity, analytics, and brand compliance. No coding required.","163","When it comes to sales proposals, why blend in when you can go digital with a microsite?","https://www.zoomforth.com/sales","785","Meta description muy larga (163 chars, máximo 160)"
"https://www.zoomforth.com/campaign-microsite","36","89","89","85","75","4.4 s","13.3 s","1,460 ms","0","5.6 s","13.9 s","Product and branded microsites for sales and pursuits teams","59","Fast, secure digital sales proposals. Escape the inbox, win bids, and close deals with built in interactivity, analytics, and brand compliance. No coding required.","163","When it comes to sales proposals, why blend in when you can go digital with a microsite?","https://www.zoomforth.com/campaign-microsite","974","Meta description muy larga (163 chars, máximo 160)"
"https://www.zoomforth.com/creative-agencies","42","95","89","85","78","2.7 s","11.1 s","1,220 ms","0","5.7 s","11.2 s","Product and branded microsites for sales and pursuits teams","59","Build vibrant, trackable and custom microsites, quickly and at scale, with Zoomforth’s no-code landing pages for Creative Agencies.","131","A creative agency platform for captivating customer experiences","https://www.zoomforth.com/creative-agencies","1165",""
"https://www.zoomforth.com/recruitment-agencies","42","95","89","85","78","2.5 s","16.8 s","1,580 ms","0","4.8 s","17.1 s","Product and branded microsites for sales and pursuits teams","59","Recruitment Agencies - showcase your current offerings with a branded landing page. Vibrant, engaging, trackable and no coding required.","136","Enterprise recruitment software for creating engaging, branded microsites","https://www.zoomforth.com/recruitment-agencies","1315",""
"https://www.zoomforth.com/lead-generation","41","95","89","85","78","2.5 s","12.6 s","1,410 ms","0","5.7 s","12.7 s","Product and branded microsites for sales and pursuits teams","59","Make lead generation a breeze with easy-to-use branded landing pages. Engage visitors and generate more inquiries for your campaigns.","133","An enterprise lead generation platform for quality B2B leads","https://www.zoomforth.com/lead-generation","1166",""
"https://www.zoomforth.com/sales-enablement","43","95","89","85","78","2.5 s","13.0 s","1,230 ms","0","5.5 s","13.0 s","Product and branded microsites for sales and pursuits teams","59","Branded, trackable, and secure sales enablement landing pages - the enterprise sales team’s secret weapon.","106","An enterprise sales enablement platform for ultimate sales productivity","https://www.zoomforth.com/sales-enablement","1231",""
"https://www.zoomforth.com/customer-success","42","95","89","85","78","2.6 s","12.9 s","1,360 ms","0","5.6 s","12.9 s","Product and branded microsites for sales and pursuits teams","59","Increase customer success with highly customized, information portals and landing pages. Impress with a single destination for all your client interactions.","156","A secure customer success platform for world-class customer experiences","https://www.zoomforth.com/customer-success","1407",""
"https://www.zoomforth.com/account-based-marketing","42","95","89","85","78","2.6 s","13.5 s","1,300 ms","0","5.7 s","13.5 s","Product and branded microsites for sales and pursuits teams","59","Manage client accounts and drive client engagement with an Account-Based Marketing Platform that scales as fast as you do.","122","An account-based marketing platform to nurture your client relationships","https://www.zoomforth.com/account-based-marketing","1266",""
"https://www.zoomforth.com/content-marketing","41","95","93","85","78","2.5 s","15.4 s","1,500 ms","0","5.7 s","15.5 s","Product and branded microsites for sales and pursuits teams","59","Discover an enterprise content marketing platform that can deliver fresh, immersive content to your audience and help you scale.","128","An enterprise content marketing platform to take control of your brand","https://www.zoomforth.com/content-marketing","1392",""
"https://www.zoomforth.com/contest-microsite","41","95","89","85","78","2.7 s","13.5 s","1,330 ms","0","5.7 s","13.5 s","Product and branded microsites for sales and pursuits teams","59","Running regular competitions? Create trackable, branded Contest Microsites with Zoomforth to increase engagement and build email lists.","135","Grow your brand with high-converting contest microsites","https://www.zoomforth.com/contest-microsite","1130",""
"https://www.zoomforth.com/product-microsite","40","95","89","85","77","2.7 s","13.4 s","1,490 ms","0","5.7 s","13.4 s","Product and branded microsites for sales and pursuits teams","59","Showcase your products and services on beautiful, branded product microsites. Create quick and easy brochure sites with powerful audience engagement data.","154","Build dynamic product microsites that captivate and convert","https://www.zoomforth.com/product-microsite","1252",""
"https://www.zoomforth.com/inspiration","41","95","89","85","78","2.8 s","9.7 s","1,440 ms","0","5.6 s","12.3 s","Microsite Examples","18","Need inspiration for your landing page or microsite? Zoomforth’s gallery is filled with exciting ideas you can easily adapt for your audience’s needs. Start creating today.","172","Microsite Examples","https://www.zoomforth.com/inspiration","2425","Título muy corto (18 chars, mínimo 30) | Meta description muy larga (172 chars, máximo 160)"
"https://www.zoomforth.com/academy","47","96","71","85","75","2.9 s","6.3 s","1,310 ms","0","4.0 s","11.2 s","Zoomforth Academy","17","We","2","Welcome to the Zoomforth Academy","https://www.zoomforth.com/academy","516","Título muy corto (17 chars, mínimo 30) | Meta description corta (2 chars, mínimo 70)"
"https://www.zoomforth.com/blog","54","95","93","54","74","2.7 s","55.8 s","500 ms","0","5.5 s","55.9 s","Blog for microsites and content","31","Information you can actually use, from Zoomforth, to you. Learn, be inspired, and gain valuable insights to get ahead with regular contributions from our team of experts.","170","","https://www.zoomforth.com/blog/","383","Meta description muy larga (170 chars, máximo 160) | Sin H1 | Robots: noindex,follow"
"https://www.zoomforth.com/case-studies","37","95","89","85","76","2.6 s","10.7 s","1,150 ms","0.164","5.0 s","10.9 s","Case studies","12","See how microsites have helped our clients improve their impact, increase engagement, and win more business.","108","Case studies","https://www.zoomforth.com/case-studies","523","Título muy corto (12 chars, mínimo 30)"
"https://www.zoomforth.com/events","48","95","89","85","79","2.7 s","11.8 s","740 ms","0","5.7 s","11.9 s","Events & Workshops","18","Register here for free microsite design seminars and skills workshops. Hear about new features and learn tips and tricks, to take your microsite designs to the next level.","171","Events & Workshops","https://www.zoomforth.com/events","449","Título muy corto (18 chars, mínimo 30) | Meta description muy larga (171 chars, máximo 160)"
"https://www.zoomforth.com/faq","46","95","93","85","80","2.5 s","9.6 s","1,060 ms","0","4.6 s","9.8 s","Frequently Asked Questions","26","Have questions? We’re here to help.","35","Frequently asked questions","https://www.zoomforth.com/faq","2499","Título muy corto (26 chars, mínimo 30) | Meta description corta (35 chars, mínimo 70)"
"https://www.zoomforth.com/whitepapers","41","95","89","85","78","2.5 s","11.3 s","1,420 ms","0","6.0 s","11.4 s","Zoomforth whitepapers","21","Help yourself to our free resources to learn more about no code / low code microsites, content experiences, digital design and more.","132","Zoomforth whitepapers","https://www.zoomforth.com/whitepapers","486","Título muy corto (21 chars, mínimo 30)"
"https://www.zoomforth.com/design-services","40","95","89","85","77","2.5 s","18.1 s","1,560 ms","0","5.9 s","18.6 s","Content Experience Platform & Microsite Builder","47","Engage audiences, win sales, and stand out with the Zoomforth microsite builder. Create secure, branded microsites quickly and at scale.","136","The Zoomforth Design Agency","https://www.zoomforth.com/design-agency","1033","Canonical apunta a URL diferente: https://www.zoomforth.com/design-agency"

"=== LINKS ROTOS ==="
"URL","Estado HTTP","Encontrado en"
"https://www.zoomforth.com/assets/img/icon-180x180.png","404","https://www.zoomforth.com"
"https://www.zoomforth.com/assets/img/icon-32x32.png","404","https://www.zoomforth.com"
"https://www.zoomforth.com/assets/img/icon-16x16.png","404","https://www.zoomforth.com"

